d	FA	MD	L1	RD	FAstd	MDstd	L1std	RDstd
1	0.424443222	1.298579111	1.889797778	1.002972667	0.039436654	0.183058981	0.252691166	0.154391604
2	0.500764111	1.089596	1.72479	0.772001111	0.049279264	0.158092248	0.231770553	0.131785305
3	0.516006222	1.046611778	1.675542222	0.732148222	0.054108159	0.147889169	0.221368275	0.123784764
4	0.508811889	1.062719778	1.686804444	0.750676556	0.053816953	0.150040247	0.222690731	0.125940035
5	0.502730778	1.079473667	1.702381111	0.768019778	0.052345957	0.152688687	0.225214634	0.127941066
