d	FA	MD	L1	RD	FAstd	MDstd	L1std	RDstd
1.00	0.515543091	1.228629091	1.945364545	0.870260636	0.033079992	0.107077032	0.143515915	0.09799497
2.00E+00	0.604581727	1.041356909	1.826578182	0.648745636	0.040943903	0.088260075	0.116496841	0.089112443
3.00E+00	0.626824091	0.992915364	1.777641818	0.600551545	0.043016087	0.079460758	0.105410914	0.0830897
4.00E+00	0.620473273	1.001623727	1.777973636	0.613447545	0.042407479	0.078177069	0.105010258	0.081223624
5.00E+00	0.612668636	1.016673727	1.788708182	0.630654727	0.041446938	0.079225792	0.107225819	0.081140466
