1	vs	2


1	0.06786	1.47374	0.30336	13.66650	0.10470	41.24930
1	0.15915	1.38157	0.22767	17.97070	0.10743	33.49630
1	0.19714	1.18219	0.24239	16.67770	0.10917	36.28260
1	0.26693	1.28348	0.19922	20.22680	0.10179	37.38390
1	0.27243	1.17895	0.21299	18.50500	0.11229	32.99630
1	0.39237	1.35907	0.18572	21.39650	0.10559	34.32670
1	0.39765	1.13925	0.18318	22.01560	0.10822	35.98320
1	0.29703	1.38318	0.19530	20.47380	0.10268	36.22200
1	0.18732	1.12626	0.23917	16.83430	0.11429	33.07100
2	0.07278	1.35125	0.26522	15.28430	0.10364	34.97800
2	0.03332	1.50976	0.36214	12.27150	0.10873	32.09820
2	0.00162	1.63240	0.35160	11.53600	0.09552	38.92860
2	0.05902	1.55074	0.28293	14.38330	0.09298	42.17380
2	0.09212	1.42454	0.25319	16.08330	0.10357	35.37880
2	0.14538	1.62250	0.23229	17.25060	0.09758	36.17410
2	0.07023	1.57635	0.29418	13.87340	0.09516	41.17770
2	0.29862	1.73752	0.18509	22.03680	0.09203	41.64180
2	0.15899	1.03805	0.22436	18.11090	0.11435	33.65600
1	vs	3


1	0.06786	1.47374	0.30336	13.66650	0.10470	41.24930
1	0.15915	1.38157	0.22767	17.97070	0.10743	33.49630
1	0.19714	1.18219	0.24239	16.67770	0.10917	36.28260
1	0.26693	1.28348	0.19922	20.22680	0.10179	37.38390
1	0.27243	1.17895	0.21299	18.50500	0.11229	32.99630
1	0.39237	1.35907	0.18572	21.39650	0.10559	34.32670
1	0.39765	1.13925	0.18318	22.01560	0.10822	35.98320
1	0.29703	1.38318	0.19530	20.47380	0.10268	36.22200
1	0.18732	1.12626	0.23917	16.83430	0.11429	33.07100
2	0.15928	1.60091	0.30508	14.09110	0.09464	39.06420
2	0.20482	1.30965	0.22430	18.06330	0.11258	33.66940
2	0.06017	1.42111	0.27206	14.96980	0.10065	37.81300
2	0.22511	1.59529	0.20941	19.35030	0.09294	42.37020
2	0.17988	1.39031	0.23084	17.71210	0.10268	36.00700
2	0.20198	1.52226	0.22007	18.20850	0.09687	38.10470
2	0.18810	1.49308	0.22823	17.61680	0.09517	40.95730
2	0.54902	1.74160	0.15907	25.30220	0.09451	41.45080
2	0.22617	1.27055	0.22893	17.59910	0.11256	33.32680
1	vs	4


1	0.06786	1.47374	0.30336	13.66650	0.10470	41.24930
1	0.15915	1.38157	0.22767	17.97070	0.10743	33.49630
1	0.19714	1.18219	0.24239	16.67770	0.10917	36.28260
1	0.26693	1.28348	0.19922	20.22680	0.10179	37.38390
1	0.27243	1.17895	0.21299	18.50500	0.11229	32.99630
1	0.39237	1.35907	0.18572	21.39650	0.10559	34.32670
1	0.39765	1.13925	0.18318	22.01560	0.10822	35.98320
1	0.29703	1.38318	0.19530	20.47380	0.10268	36.22200
1	0.18732	1.12626	0.23917	16.83430	0.11429	33.07100
2	0.28804	1.63042	0.21969	18.07990	0.09207	40.95980
2	0.21597	1.69532	0.23873	16.75300	0.09931	34.65960
2	0.13217	1.46736	0.26587	15.19400	0.09590	40.50800
2	0.23045	1.50728	0.21705	18.91040	0.09358	40.75240
2	0.22490	1.53746	0.21778	18.33070	0.09653	38.04730
2	0.27057	1.60363	0.22184	18.38830	0.09464	38.96360
2	0.24268	1.41918	0.23422	17.06460	0.10368	35.94950
2	0.33998	1.68427	0.19574	21.09450	0.09170	41.89460
2	0.22376	1.17591	0.26352	16.67570	0.11800	31.04370
1	vs	5


1	0.06786	1.47374	0.30336	13.66650	0.10470	41.24930
1	0.15915	1.38157	0.22767	17.97070	0.10743	33.49630
1	0.19714	1.18219	0.24239	16.67770	0.10917	36.28260
1	0.26693	1.28348	0.19922	20.22680	0.10179	37.38390
1	0.27243	1.17895	0.21299	18.50500	0.11229	32.99630
1	0.39237	1.35907	0.18572	21.39650	0.10559	34.32670
1	0.39765	1.13925	0.18318	22.01560	0.10822	35.98320
1	0.29703	1.38318	0.19530	20.47380	0.10268	36.22200
1	0.18732	1.12626	0.23917	16.83430	0.11429	33.07100
2	0.42997	1.84534	0.20488	19.19780	0.09164	37.23850
