lab	ADCX	ADCZ	P0X	FWHMX	P0Z	FWHMZ	ADCXerr	ADCZerr	P0Xerr	FWHMXerr	P0Zerr	FWHMZerr
1	0.2486536	1.278632222	2.21E-01	18.64076667	0.107350444	35.66792222	0.107939454	0.126476061	3.79E-02	2.673639432	0.00417619	2.62861606
2	0.103565088	1.493678889	0.272334222	15.64778889	0.100396367	37.35633333	0.088293416	0.205642243	0.057957693	3.217737938	0.007654788	3.724132305
3	0.221616989	1.482751111	0.230887111	18.10146667	0.100287978	38.08482222	0.132623706	0.151094011	0.04029541	3.16133507	0.007619683	3.267853558
4	0.240947	1.524536667	0.230493778	17.83234444	0.098378567	38.0865	0.057036978	0.161447854	0.022819308	1.676144944	0.008253974	3.577891297
5	0.568885556	1.540142222	0.174125778	22.73796667	0.101157233	35.6812	0.122350128	0.20265334	0.018095171	2.149863011	0.007828116	2.890493773
6	0.333952444	1.617217778	0.218837667	18.82853333	0.099546078	37.01063333	0.045656535	0.168650934	0.017240071	1.323292902	0.007743336	3.174116173
