0.000 3.000 268.000 97.000 11.000
0.200 5.000 111.000 39.000 6.000
0.400 3.000 34.000 23.000 3.000
0.600 3.000 34.000 13.000 2.000
0.800 0.000 36.000 11.000 0.000
1.000 3.000 40.000 24.000 2.000
1.200 3.000 54.000 37.000 4.000
1.400 2.000 66.000 58.000 3.000
1.600 1.000 101.000 102.000 0.000
1.800 5.000 111.000 150.000 3.000
2.000 3.000 73.000 162.000 3.000
2.200 2.000 37.000 140.000 0.000
2.400 3.000 17.000 95.000 1.000
2.600 1.000 5.000 32.000 2.000
2.800 1.000 7.000 7.000 3.000
3.000 0.000 3.000 2.000 4.000
3.200 5.000 3.000 2.000 18.000
3.400 7.000 0.000 6.000 15.000
3.600 9.000 0.000 0.000 4.000
3.800 8.000 0.000 0.000 4.000
4.000 10.000 0.000 0.000 4.000
4.200 7.000 0.000 0.000 3.000
4.400 9.000 0.000 0.000 9.000
4.600 9.000 0.000 0.000 96.000
4.800 11.000 0.000 0.000 338.000
5.000 21.000 0.000 0.000 329.000
5.200 22.000 0.000 0.000 82.000
5.400 31.000 0.000 0.000 11.000
5.600 54.000 0.000 0.000 24.000
5.800 55.000 0.000 0.000 3.000
6.000 38.000 0.000 0.000 0.000
6.200 60.000 0.000 0.000 0.000
6.400 46.000 0.000 0.000 0.000
6.600 28.000 0.000 0.000 0.000
6.800 18.000 0.000 0.000 0.000
7.000 15.000 0.000 0.000 0.000
7.200 16.000 0.000 0.000 0.000
7.400 12.000 0.000 0.000 0.000
7.600 16.000 0.000 0.000 0.000
7.800 15.000 0.000 0.000 0.000
8.000 15.000 0.000 0.000 0.000
8.200 20.000 0.000 0.000 0.000
8.400 15.000 0.000 0.000 0.000
8.600 6.000 0.000 0.000 0.000
8.800 13.000 0.000 0.000 1.000
9.000 15.000 0.000 0.000 0.000
9.200 21.000 0.000 0.000 3.000
9.400 18.000 0.000 0.000 1.000
9.600 18.000 0.000 0.000 0.000
9.800 17.000 0.000 0.000 0.000
10.000 39.000 0.000 0.000 2.000
10.200 36.000 0.000 0.000 0.000
10.400 42.000 0.000 0.000 1.000
10.600 37.000 0.000 0.000 0.000
10.800 34.000 0.000 0.000 0.000
11.000 24.000 0.000 0.000 0.000
11.200 9.000 0.000 0.000 1.000
11.400 9.000 0.000 0.000 0.000
11.600 6.000 0.000 0.000 0.000
11.800 1.000 0.000 0.000 0.000
12.000 4.000 0.000 0.000 1.000
12.200 0.000 0.000 0.000 0.000
12.400 1.000 0.000 0.000 0.000
12.600 3.000 0.000 0.000 1.000
12.800 3.000 0.000 0.000 0.000
13.000 1.000 0.000 0.000 0.000
13.200 1.000 0.000 0.000 1.000
13.400 1.000 0.000 0.000 0.000
13.600 2.000 0.000 0.000 0.000
13.800 0.000 0.000 0.000 0.000
14.000 0.000 0.000 0.000 0.000
14.200 0.000 0.000 0.000 0.000
14.400 1.000 0.000 0.000 0.000
14.600 0.000 0.000 0.000 0.000
14.800 1.000 0.000 0.000 0.000
15.000 0.000 0.000 0.000 0.000
