4.300	0.100
4.300	19.860
4.300	0.101
4.300	0.261
4.300	12.501
4.300	16.593
4.300	18.866
4.300	19.534
4.300	0.168
4.300	18.364
4.300	0.117
4.300	0.244
4.300	18.682
4.300	0.150
4.300	18.966
4.300	19.736
4.300	15.820
4.300	0.139
4.300	0.161
4.300	0.102
1.300	5.097
1.300	0.100
1.300	0.100
1.300	0.100
1.300	0.100
1.300	5.018
1.300	5.133
1.300	0.100
1.300	5.143
1.300	0.100
1.300	0.100
1.300	4.966
1.300	5.116
1.300	0.100
1.300	5.162
1.300	4.992
1.300	0.100
1.300	0.100
1.300	5.050
1.300	4.962
2.300	0.100
2.300	5.089
2.300	5.150
2.300	5.030
2.300	0.100
2.300	5.091
2.300	0.100
2.300	0.100
2.300	0.100
2.300	0.100
2.300	0.100
2.300	5.250
2.300	5.031
2.300	0.100
2.300	0.100
2.300	5.221
2.300	0.100
2.300	5.040
2.300	4.982
2.300	5.148
3.300	0.110
3.300	0.105
3.300	7.430
3.300	0.106
3.300	6.617
3.300	0.100
3.300	0.104
3.300	6.764
3.300	6.652
3.300	7.401
3.300	0.105
3.300	0.102
3.300	7.070
3.300	7.232
3.300	6.731
3.300	0.108
3.300	7.421
3.300	6.599
3.300	0.101
3.300	0.112
