4.100	0.958
4.100	0.984
4.100	0.004
4.100	0.964
4.100	0.003
4.100	0.006
4.100	0.009
4.100	0.974
4.100	0.968
4.100	0.978
4.100	0.973
4.100	0.005
4.100	0.951
4.100	1.000
4.100	0.003
4.100	0.002
4.100	0.001
4.100	0.985
4.100	0.006
4.100	0.005
4.100	0.954
4.100	0.974
4.100	0.964
4.100	0.006
4.100	0.003
4.100	0.006
4.100	0.007
4.100	0.954
4.100	0.967
4.100	0.001
4.100	0.986
4.100	0.003
4.100	0.980
4.100	0.007
4.100	0.972
4.100	0.961
4.100	0.978
4.100	0.975
4.100	0.963
4.100	0.968
4.100	0.006
4.100	0.961
4.100	0.983
4.100	0.001
4.100	0.956
4.100	0.996
4.100	0.007
4.100	0.981
4.100	0.001
4.100	0.951
4.100	0.967
4.100	0.006
4.100	0.006
4.100	0.006
4.100	0.000
4.100	0.008
4.100	0.000
4.100	0.001
4.100	0.002
4.100	0.004
4.100	0.003
4.100	0.963
4.100	0.000
4.100	0.950
4.100	0.008
4.100	0.954
4.100	0.002
4.100	0.989
4.100	0.971
4.100	0.977
4.100	0.007
4.100	0.005
4.100	0.005
4.100	0.002
4.100	0.004
4.100	0.952
4.100	0.964
4.100	0.997
4.100	0.000
4.100	0.001
4.100	0.988
4.100	0.005
4.100	0.962
4.100	1.000
4.100	0.002
4.100	0.971
4.100	0.001
4.100	0.989
4.100	0.989
4.100	0.001
4.100	0.995
4.100	0.003
4.100	0.003
4.100	0.003
4.100	0.997
4.100	0.960
4.100	0.990
4.100	0.001
4.100	0.007
4.100	0.973
1.100	0.855
1.100	0.902
1.100	0.586
1.100	0.893
1.100	0.910
1.100	0.554
1.100	0.905
1.100	0.525
1.100	0.605
1.100	0.881
1.100	0.927
1.100	0.899
1.100	0.659
1.100	0.878
1.100	0.663
1.100	0.894
1.100	0.539
1.100	0.913
1.100	0.878
1.100	0.574
1.100	0.898
1.100	0.878
1.100	0.596
1.100	0.609
1.100	0.650
1.100	0.594
1.100	0.560
1.100	0.631
1.100	0.869
1.100	0.892
1.100	0.611
1.100	0.604
1.100	0.536
1.100	0.505
1.100	0.613
