3.900	0.997
3.900	0.006
3.900	0.016
3.900	0.016
3.900	0.015
3.900	0.986
3.900	0.988
3.900	0.008
3.900	0.993
3.900	0.998
3.900	0.016
3.900	0.986
3.900	0.014
3.900	0.001
3.900	0.003
3.900	0.994
3.900	0.986
3.900	0.016
3.900	0.991
3.900	0.987
0.900	0.623
0.900	0.922
0.900	0.960
0.900	0.882
0.900	0.600
0.900	0.877
0.900	0.590
0.900	0.587
0.900	0.889
0.900	0.903
0.900	0.555
0.900	0.886
0.900	0.614
0.900	0.606
0.900	0.621
0.900	0.593
0.900	0.882
0.900	0.566
0.900	0.881
0.900	0.881
1.900	0.570
1.900	0.915
1.900	0.942
1.900	0.895
1.900	0.550
1.900	0.457
1.900	0.876
1.900	0.950
1.900	0.569
1.900	0.485
1.900	0.551
1.900	0.533
1.900	0.975
1.900	0.879
1.900	0.524
1.900	0.877
1.900	0.995
1.900	0.540
1.900	0.950
1.900	0.534
2.900	0.995
2.900	0.179
2.900	0.187
2.900	0.990
2.900	0.990
2.900	0.175
2.900	0.981
2.900	1.000
2.900	0.126
2.900	0.226
2.900	0.182
2.900	0.992
2.900	0.155
2.900	0.186
2.900	0.228
2.900	0.206
2.900	0.977
2.900	0.998
2.900	0.983
2.900	0.992
