SCAN	FA	MD	L1	RD	DIAM	DENS
t1	5.75E-01	9.65E-01	1.69E+00	6.04E-01	1.08E+01	3.59E-02
t1	6.12E-01	8.70E-01	1.58E+00	5.17E-01	1.08E+01	3.78E-02
t1	6.20E-01	8.19E-01	1.49E+00	4.82E-01	1.16E+01	3.48E-02
t1	6.14E-01	7.70E-01	1.39E+00	4.59E-01	1.16E+01	3.37E-02
t1	5.56E-01	7.66E-01	1.30E+00	4.96E-01	1.20E+01	3.28E-02
t1	3.04E-01	1.10E+00	1.46E+00	9.15E-01	1.25E+01	2.22E-02
t1	4.99E-01	9.12E-01	1.47E+00	6.32E-01	1.23E+01	2.86E-02
t1	6.06E-01	9.23E-01	1.66E+00	5.55E-01	1.13E+01	3.59E-02
t1	6.49E-01	9.26E-01	1.74E+00	5.20E-01	1.11E+01	3.61E-02
t1	6.63E-01	9.12E-01	1.74E+00	4.98E-01	1.10E+01	3.50E-02
t1	6.63E-01	9.11E-01	1.74E+00	4.98E-01	1.11E+01	3.42E-02
t1	6.54E-01	9.10E-01	1.72E+00	5.06E-01	1.16E+01	3.19E-02
t1	6.49E-01	8.63E-01	1.62E+00	4.84E-01	1.19E+01	3.20E-02
t1	6.13E-01	8.43E-01	1.53E+00	5.00E-01	1.24E+01	2.96E-02
t1	6.02E-01	8.68E-01	1.56E+00	5.23E-01	1.12E+01	3.56E-02
t1	6.19E-01	9.05E-01	1.65E+00	5.32E-01	1.05E+01	3.81E-02
t1	6.31E-01	9.16E-01	1.69E+00	5.29E-01	1.08E+01	3.75E-02
t1	6.92E-01	8.02E-01	1.57E+00	4.16E-01	1.10E+01	3.89E-02
t1	7.02E-01	7.58E-01	1.51E+00	3.85E-01	1.12E+01	3.75E-02
t1	6.62E-01	7.83E-01	1.49E+00	4.29E-01	1.13E+01	3.68E-02
t1	6.47E-01	7.47E-01	1.40E+00	4.21E-01	1.13E+01	3.73E-02
t1	6.20E-01	6.89E-01	1.25E+00	4.07E-01	1.23E+01	3.20E-02
t1	4.40E-01	9.66E-01	1.47E+00	7.14E-01	1.21E+01	2.87E-02
t1	5.61E-01	9.64E-01	1.66E+00	6.17E-01	1.11E+01	3.49E-02
t1	6.18E-01	9.72E-01	1.77E+00	5.73E-01	1.11E+01	3.51E-02
t1	6.40E-01	9.50E-01	1.77E+00	5.40E-01	1.14E+01	3.42E-02
t1	6.59E-01	9.14E-01	1.74E+00	5.03E-01	1.12E+01	3.58E-02
t1	6.67E-01	8.84E-01	1.69E+00	4.80E-01	1.15E+01	3.37E-02
t1	6.54E-01	8.56E-01	1.62E+00	4.75E-01	1.18E+01	3.27E-02
t1	6.25E-01	8.23E-01	1.51E+00	4.78E-01	1.24E+01	2.94E-02
t1	5.60E-01	9.81E-01	1.69E+00	6.27E-01	1.14E+01	3.16E-02
t1	7.27E-01	7.43E-01	1.51E+00	3.58E-01	1.08E+01	4.12E-02
t1	7.33E-01	7.67E-01	1.57E+00	3.63E-01	1.10E+01	3.77E-02
t1	7.81E-01	6.99E-01	1.51E+00	2.92E-01	1.10E+01	3.99E-02
t1	7.87E-01	6.77E-01	1.48E+00	2.76E-01	1.11E+01	3.94E-02
t1	7.06E-01	7.73E-01	1.54E+00	3.89E-01	1.15E+01	3.48E-02
t1	6.93E-01	7.53E-01	1.48E+00	3.88E-01	1.17E+01	3.46E-02
t1	7.00E-01	6.86E-01	1.36E+00	3.49E-01	1.23E+01	3.19E-02
t1	6.33E-01	6.88E-01	1.27E+00	3.96E-01	1.27E+01	3.03E-02
t1	5.48E-01	6.66E-01	1.13E+00	4.34E-01	1.32E+01	2.74E-02
t1	3.73E-01	1.01E+00	1.44E+00	7.98E-01	1.20E+01	2.88E-02
t1	5.29E-01	9.36E-01	1.56E+00	6.25E-01	1.13E+01	3.31E-02
t1	6.10E-01	9.38E-01	1.70E+00	5.60E-01	1.13E+01	3.45E-02
t1	6.31E-01	9.51E-01	1.76E+00	5.48E-01	1.16E+01	3.40E-02
t1	6.69E-01	8.86E-01	1.70E+00	4.79E-01	1.14E+01	3.58E-02
t1	7.28E-01	7.73E-01	1.58E+00	3.69E-01	1.15E+01	3.53E-02
t1	7.13E-01	7.58E-01	1.52E+00	3.75E-01	1.19E+01	3.18E-02
t1	6.50E-01	7.83E-01	1.48E+00	4.37E-01	1.22E+01	2.96E-02
t1	5.72E-01	8.14E-01	1.42E+00	5.11E-01	1.29E+01	2.42E-02
t1	7.74E-01	6.86E-01	1.47E+00	2.93E-01	1.10E+01	4.02E-02
t1	8.47E-01	6.10E-01	1.43E+00	1.98E-01	1.07E+01	4.36E-02
t1	7.94E-01	7.00E-01	1.54E+00	2.80E-01	1.13E+01	3.73E-02
t1	8.44E-01	6.24E-01	1.46E+00	2.06E-01	1.14E+01	3.79E-02
t1	7.99E-01	6.70E-01	1.48E+00	2.63E-01	1.15E+01	3.57E-02
t1	7.15E-01	7.68E-01	1.55E+00	3.77E-01	1.18E+01	3.22E-02
t1	7.63E-01	6.61E-01	1.40E+00	2.89E-01	1.20E+01	3.40E-02
t1	7.60E-01	6.17E-01	1.31E+00	2.72E-01	1.26E+01	3.09E-02
t1	6.23E-01	7.15E-01	1.31E+00	4.18E-01	1.31E+01	2.88E-02
t1	5.27E-01	7.01E-01	1.17E+00	4.67E-01	1.35E+01	2.61E-02
t1	3.10E-01	1.06E+00	1.41E+00	8.79E-01	1.21E+01	2.69E-02
t1	4.94E-01	8.95E-01	1.44E+00	6.23E-01	1.14E+01	3.36E-02
t1	6.12E-01	8.69E-01	1.57E+00	5.17E-01	1.11E+01	3.70E-02
t1	6.69E-01	8.56E-01	1.64E+00	4.62E-01	1.10E+01	3.61E-02
t1	7.35E-01	7.70E-01	1.59E+00	3.62E-01	1.12E+01	3.66E-02
t1	7.87E-01	6.91E-01	1.51E+00	2.81E-01	1.15E+01	3.58E-02
t1	7.48E-01	7.24E-01	1.51E+00	3.29E-01	1.21E+01	3.14E-02
t1	6.87E-01	7.55E-01	1.48E+00	3.93E-01	1.25E+01	2.84E-02
t1	6.58E-01	7.12E-01	1.35E+00	3.92E-01	1.27E+01	2.68E-02
t1	5.15E-01	8.62E-01	1.43E+00	5.81E-01	1.38E+01	1.83E-02
t1	5.19E-01	1.20E+00	1.98E+00	8.02E-01	1.17E+01	2.23E-02
t1	8.82E-01	5.62E-01	1.38E+00	1.52E-01	1.02E+01	4.74E-02
t1	8.51E-01	6.16E-01	1.45E+00	1.97E-01	1.11E+01	3.89E-02
t1	8.05E-01	6.90E-01	1.54E+00	2.66E-01	1.17E+01	3.54E-02
t1	8.18E-01	6.62E-01	1.50E+00	2.42E-01	1.15E+01	3.67E-02
t1	7.75E-01	7.06E-01	1.52E+00	2.98E-01	1.14E+01	3.65E-02
t1	7.73E-01	6.84E-01	1.47E+00	2.90E-01	1.16E+01	3.57E-02
