SCAN	FA	MD	L1	RD	DIAM	DENS
t1	7.72E-01	6.54E-01	1.40E+00	2.79E-01	9.79E+00	3.04E-02
t1	7.69E-01	6.42E-01	1.37E+00	2.77E-01	8.96E+00	2.94E-02
t1	6.50E-01	7.99E-01	1.50E+00	4.47E-01	1.42E+01	1.42E-02
t1	5.33E-01	9.84E-01	1.65E+00	6.49E-01	2.78E+01	6.40E-03
t1	4.35E-01	9.23E-01	1.41E+00	6.78E-01	2.49E+01	7.11E-03
t1	3.97E-01	9.08E-01	1.34E+00	6.93E-01	1.31E+01	2.54E-02
t1	6.82E-01	6.12E-01	1.19E+00	3.24E-01	1.19E+01	3.35E-02
t1	7.19E-01	7.06E-01	1.43E+00	3.45E-01	1.09E+01	3.68E-02
t1	7.27E-01	8.07E-01	1.65E+00	3.87E-01	1.06E+01	4.19E-02
t1	7.72E-01	7.80E-01	1.67E+00	3.33E-01	1.08E+01	3.97E-02
t1	7.87E-01	7.69E-01	1.68E+00	3.13E-01	1.10E+01	3.72E-02
t1	7.44E-01	8.30E-01	1.73E+00	3.82E-01	1.09E+01	3.71E-02
t1	6.73E-01	9.28E-01	1.79E+00	4.97E-01	1.10E+01	3.57E-02
t1	6.47E-01	9.39E-01	1.77E+00	5.26E-01	1.15E+01	3.37E-02
t1	4.51E-01	9.84E-01	1.51E+00	7.21E-01	1.01E+01	4.38E-02
t1	4.80E-01	9.89E-01	1.57E+00	6.96E-01	1.02E+01	4.70E-02
t1	5.76E-01	8.49E-01	1.49E+00	5.30E-01	1.07E+01	4.01E-02
t1	6.82E-01	7.18E-01	1.40E+00	3.78E-01	1.01E+01	3.43E-02
t1	7.40E-01	6.49E-01	1.34E+00	3.01E-01	1.25E+01	1.86E-02
t1	7.29E-01	6.50E-01	1.33E+00	3.10E-01	1.61E+00	4.03E-01
t1	5.46E-01	9.12E-01	1.55E+00	5.93E-01	1.44E+01	9.65E-03
t1	5.29E-01	5.87E-01	9.76E-01	3.92E-01	1.30E+01	2.13E-02
t1	5.93E-01	6.85E-01	1.22E+00	4.19E-01	1.15E+01	2.87E-02
t1	6.52E-01	7.63E-01	1.44E+00	4.25E-01	1.10E+01	3.69E-02
t1	7.24E-01	7.54E-01	1.54E+00	3.64E-01	1.09E+01	4.02E-02
t1	7.44E-01	7.85E-01	1.63E+00	3.60E-01	1.10E+01	3.93E-02
t1	7.40E-01	8.20E-01	1.70E+00	3.80E-01	1.15E+01	3.52E-02
t1	7.05E-01	8.83E-01	1.76E+00	4.43E-01	1.16E+01	3.41E-02
t1	7.41E-01	8.06E-01	1.67E+00	3.73E-01	1.17E+01	3.35E-02
t1	7.63E-01	7.49E-01	1.59E+00	3.28E-01	1.19E+01	3.25E-02
t1	4.33E-01	9.36E-01	1.38E+00	7.12E-01	9.94E+00	4.33E-02
t1	4.52E-01	9.63E-01	1.47E+00	7.08E-01	1.02E+01	4.42E-02
t1	4.51E-01	1.03E+00	1.59E+00	7.52E-01	1.08E+01	3.08E-02
t1	5.48E-01	8.42E-01	1.43E+00	5.48E-01	1.16E+01	2.24E-02
t1	7.44E-01	5.70E-01	1.18E+00	2.63E-01	1.26E+01	1.54E-02
t1	6.70E-01	6.83E-01	1.31E+00	3.68E-01	1.02E+01	1.54E-02
t1	5.06E-01	9.52E-01	1.56E+00	6.48E-01	3.73E+00	7.53E-02
t1	3.50E-01	8.79E-01	1.24E+00	6.97E-01	2.02E+01	1.15E-02
t1	4.83E-01	8.33E-01	1.33E+00	5.82E-01	1.38E+01	2.10E-02
t1	6.46E-01	7.15E-01	1.34E+00	4.03E-01	1.21E+01	3.00E-02
t1	7.02E-01	7.44E-01	1.48E+00	3.77E-01	1.08E+01	4.02E-02
t1	7.22E-01	7.96E-01	1.62E+00	3.86E-01	1.16E+01	3.62E-02
t1	7.73E-01	7.54E-01	1.62E+00	3.21E-01	1.15E+01	3.66E-02
t1	7.64E-01	7.83E-01	1.67E+00	3.42E-01	1.05E+01	4.01E-02
t1	7.27E-01	8.42E-01	1.72E+00	4.03E-01	1.11E+01	3.66E-02
t1	7.33E-01	8.06E-01	1.66E+00	3.81E-01	1.11E+01	3.70E-02
t1	6.30E-01	9.66E-01	1.78E+00	5.57E-01	1.14E+01	3.71E-02
t1	5.59E-01	7.77E-01	1.26E+00	5.34E-01	1.09E+01	3.69E-02
t1	5.06E-01	8.76E-01	1.39E+00	6.18E-01	9.95E+00	4.98E-02
t1	4.88E-01	9.16E-01	1.45E+00	6.48E-01	1.06E+01	4.22E-02
t1	6.29E-01	6.91E-01	1.26E+00	4.07E-01	1.15E+01	2.10E-02
t1	6.41E-01	6.83E-01	1.27E+00	3.91E-01	6.14E+00	3.29E-02
t1	4.57E-01	8.25E-01	1.29E+00	5.93E-01	1.54E+01	1.71E-02
t1	6.12E-01	7.15E-01	1.30E+00	4.25E-01	1.20E+01	2.62E-02
t1	7.46E-01	6.42E-01	1.34E+00	2.94E-01	1.19E+01	3.34E-02
t1	8.19E-01	6.22E-01	1.41E+00	2.27E-01	1.09E+01	4.02E-02
t1	7.34E-01	8.02E-01	1.65E+00	3.78E-01	1.08E+01	4.05E-02
t1	6.84E-01	9.16E-01	1.79E+00	4.81E-01	1.08E+01	3.94E-02
t1	7.04E-01	8.72E-01	1.74E+00	4.40E-01	1.11E+01	3.71E-02
t1	7.23E-01	8.22E-01	1.67E+00	3.98E-01	1.18E+01	3.31E-02
t1	6.60E-01	9.15E-01	1.74E+00	5.03E-01	1.13E+01	3.51E-02
t1	5.77E-01	1.06E+00	1.86E+00	6.65E-01	1.16E+01	3.32E-02
t1	5.19E-01	8.37E-01	1.31E+00	5.98E-01	1.14E+01	3.41E-02
t1	5.05E-01	9.10E-01	1.43E+00	6.50E-01	1.13E+01	3.66E-02
t1	5.62E-01	8.50E-01	1.42E+00	5.65E-01	1.10E+01	3.96E-02
t1	6.18E-01	7.80E-01	1.39E+00	4.77E-01	1.08E+01	4.28E-02
t1	5.86E-01	8.27E-01	1.44E+00	5.19E-01	1.08E+01	3.57E-02
t1	6.51E-01	6.95E-01	1.30E+00	3.93E-01	7.52E+00	3.41E-02
t1	5.68E-01	8.11E-01	1.40E+00	5.15E-01	1.68E+00	2.30E-01
t1	3.92E-01	8.74E-01	1.29E+00	6.68E-01	1.41E+01	1.86E-02
t1	5.63E-01	7.17E-01	1.24E+00	4.56E-01	1.17E+01	2.36E-02
t1	6.59E-01	7.06E-01	1.34E+00	3.88E-01	1.09E+01	3.29E-02
t1	6.77E-01	7.83E-01	1.52E+00	4.16E-01	1.03E+01	4.23E-02
t1	6.97E-01	8.23E-01	1.63E+00	4.21E-01	1.06E+01	4.21E-02
t1	7.06E-01	8.47E-01	1.69E+00	4.25E-01	1.09E+01	3.89E-02
t1	7.36E-01	8.11E-01	1.67E+00	3.81E-01	1.17E+01	3.45E-02
t1	6.71E-01	9.28E-01	1.79E+00	5.00E-01	1.14E+01	3.31E-02
t1	6.18E-01	1.03E+00	1.87E+00	6.05E-01	1.14E+01	3.23E-02
t1	6.55E-01	9.33E-01	1.76E+00	5.18E-01	1.21E+01	2.88E-02
t1	6.92E-01	8.41E-01	1.65E+00	4.37E-01	1.27E+01	2.79E-02
t1	6.31E-01	9.21E-01	1.70E+00	5.33E-01	1.30E+01	2.82E-02
t1	4.77E-01	1.00E+00	1.55E+00	7.33E-01	1.26E+01	3.02E-02
t1	5.59E-01	8.50E-01	1.41E+00	5.67E-01	1.22E+01	3.20E-02
t1	6.11E-01	7.82E-01	1.38E+00	4.83E-01	1.18E+01	3.26E-02
t1	6.34E-01	7.64E-01	1.39E+00	4.52E-01	1.15E+01	3.42E-02
t1	5.95E-01	8.48E-01	1.49E+00	5.27E-01	1.15E+01	3.63E-02
t1	5.90E-01	8.84E-01	1.55E+00	5.51E-01	1.09E+01	4.21E-02
t1	6.40E-01	8.10E-01	1.50E+00	4.68E-01	1.07E+01	3.96E-02
t1	6.82E-01	7.34E-01	1.42E+00	3.92E-01	1.10E+01	2.76E-02
t1	6.88E-01	6.90E-01	1.34E+00	3.62E-01	1.27E+01	1.35E-02
t1	4.82E-01	9.97E-01	1.60E+00	6.98E-01	1.26E+01	6.77E-03
t1	4.07E-01	9.29E-01	1.39E+00	7.00E-01	1.42E+01	1.70E-02
t1	5.52E-01	7.90E-01	1.35E+00	5.09E-01	1.22E+01	2.41E-02
t1	6.62E-01	7.29E-01	1.39E+00	3.98E-01	1.09E+01	3.49E-02
t1	7.03E-01	7.50E-01	1.49E+00	3.79E-01	1.10E+01	3.86E-02
t1	7.50E-01	7.29E-01	1.53E+00	3.31E-01	1.12E+01	3.85E-02
t1	7.01E-01	8.43E-01	1.67E+00	4.29E-01	1.14E+01	3.69E-02
t1	6.22E-01	1.02E+00	1.86E+00	5.96E-01	1.15E+01	3.44E-02
t1	6.37E-01	9.93E-01	1.84E+00	5.67E-01	1.17E+01	3.17E-02
t1	6.89E-01	8.80E-01	1.72E+00	4.59E-01	1.18E+01	3.15E-02
t1	7.00E-01	8.37E-01	1.65E+00	4.28E-01	1.21E+01	2.94E-02
t1	6.91E-01	8.20E-01	1.61E+00	4.27E-01	1.29E+01	2.68E-02
t1	6.30E-01	8.98E-01	1.66E+00	5.20E-01	1.15E+01	3.37E-02
t1	5.20E-01	9.70E-01	1.60E+00	6.53E-01	1.28E+01	2.87E-02
t1	5.49E-01	9.23E-01	1.57E+00	6.01E-01	1.24E+01	2.88E-02
t1	6.35E-01	7.91E-01	1.46E+00	4.58E-01	1.21E+01	2.96E-02
t1	7.19E-01	6.89E-01	1.38E+00	3.42E-01	1.26E+01	2.84E-02
t1	7.30E-01	6.90E-01	1.40E+00	3.35E-01	1.25E+01	2.90E-02
t1	6.90E-01	7.59E-01	1.47E+00	4.01E-01	1.24E+01	3.04E-02
t1	6.91E-01	7.66E-01	1.49E+00	4.02E-01	1.12E+01	3.83E-02
t1	7.29E-01	7.18E-01	1.46E+00	3.46E-01	1.08E+01	4.02E-02
t1	6.82E-01	8.04E-01	1.56E+00	4.26E-01	1.12E+01	3.86E-02
t1	6.73E-01	8.16E-01	1.57E+00	4.39E-01	1.16E+01	3.51E-02
t1	7.47E-01	6.86E-01	1.43E+00	3.15E-01	1.15E+01	2.76E-02
t1	7.37E-01	6.77E-01	1.40E+00	3.18E-01	1.34E+01	1.56E-02
t1	6.09E-01	8.35E-01	1.51E+00	4.97E-01	1.11E+01	1.39E-02
t1	4.26E-01	1.15E+00	1.75E+00	8.49E-01	3.17E+01	2.55E-03
t1	4.17E-01	9.46E-01	1.43E+00	7.06E-01	1.43E+01	1.77E-02
t1	5.56E-01	7.87E-01	1.35E+00	5.06E-01	1.15E+01	3.00E-02
t1	6.81E-01	6.79E-01	1.32E+00	3.60E-01	1.14E+01	3.41E-02
t1	7.36E-01	6.65E-01	1.37E+00	3.14E-01	1.14E+01	3.61E-02
t1	7.16E-01	7.46E-01	1.50E+00	3.68E-01	1.12E+01	3.87E-02
t1	6.88E-01	8.35E-01	1.63E+00	4.36E-01	1.16E+01	3.68E-02
t1	6.75E-01	8.86E-01	1.71E+00	4.74E-01	1.12E+01	3.78E-02
t1	6.90E-01	8.61E-01	1.69E+00	4.49E-01	1.10E+01	3.70E-02
t1	7.04E-01	8.24E-01	1.64E+00	4.17E-01	1.18E+01	3.28E-02
t1	6.63E-01	8.80E-01	1.68E+00	4.81E-01	1.23E+01	3.16E-02
t1	6.46E-01	9.00E-01	1.69E+00	5.07E-01	1.24E+01	3.13E-02
t1	6.85E-01	8.19E-01	1.60E+00	4.31E-01	1.24E+01	2.95E-02
t1	7.16E-01	7.62E-01	1.53E+00	3.76E-01	1.22E+01	2.96E-02
t1	7.23E-01	7.45E-01	1.51E+00	3.62E-01	1.26E+01	2.94E-02
t1	7.27E-01	7.35E-01	1.50E+00	3.54E-01	1.22E+01	3.02E-02
t1	6.94E-01	7.98E-01	1.57E+00	4.12E-01	1.25E+01	2.82E-02
t1	7.12E-01	7.80E-01	1.56E+00	3.88E-01	1.23E+01	3.00E-02
t1	7.53E-01	7.15E-01	1.50E+00	3.24E-01	1.21E+01	3.05E-02
t1	7.15E-01	7.64E-01	1.54E+00	3.78E-01	1.20E+01	3.02E-02
t1	6.75E-01	8.12E-01	1.56E+00	4.36E-01	1.26E+01	2.71E-02
t1	6.39E-01	8.48E-01	1.57E+00	4.85E-01	1.28E+01	2.86E-02
t1	6.20E-01	8.72E-01	1.59E+00	5.13E-01	1.23E+01	2.94E-02
t1	6.62E-01	7.99E-01	1.52E+00	4.38E-01	1.23E+01	2.81E-02
t1	6.96E-01	7.42E-01	1.46E+00	3.81E-01	1.25E+01	2.92E-02
t1	6.74E-01	7.73E-01	1.49E+00	4.14E-01	1.24E+01	3.03E-02
t1	6.64E-01	8.01E-01	1.53E+00	4.37E-01	1.21E+01	3.06E-02
t1	6.58E-01	8.38E-01	1.59E+00	4.63E-01	1.17E+01	3.28E-02
t1	6.91E-01	8.09E-01	1.59E+00	4.20E-01	1.16E+01	3.54E-02
t1	7.01E-01	8.07E-01	1.60E+00	4.11E-01	1.14E+01	3.66E-02
t1	6.61E-01	8.76E-01	1.67E+00	4.81E-01	1.12E+01	3.77E-02
t1	6.84E-01	8.31E-01	1.62E+00	4.37E-01	1.12E+01	3.69E-02
t1	7.54E-01	7.18E-01	1.51E+00	3.23E-01	1.09E+01	3.36E-02
t1	7.59E-01	6.97E-01	1.47E+00	3.09E-01	1.16E+01	2.55E-02
t1	7.56E-01	6.71E-01	1.41E+00	3.00E-01	1.25E+01	1.76E-02
t1	6.71E-01	7.56E-01	1.45E+00	4.07E-01	5.94E+00	3.61E-02
t1	4.89E-01	1.05E+00	1.69E+00	7.25E-01	1.97E+00	1.38E-01
t1	3.39E-01	9.55E-01	1.33E+00	7.65E-01	2.10E+01	1.13E-02
t1	4.57E-01	8.00E-01	1.25E+00	5.78E-01	1.18E+01	2.46E-02
t1	5.68E-01	7.10E-01	1.23E+00	4.52E-01	1.34E+01	2.26E-02
t1	7.34E-01	5.58E-01	1.14E+00	2.66E-01	1.23E+01	2.70E-02
t1	7.41E-01	6.08E-01	1.26E+00	2.83E-01	1.12E+01	3.41E-02
t1	6.38E-01	8.22E-01	1.53E+00	4.69E-01	1.13E+01	3.59E-02
t1	6.29E-01	8.77E-01	1.61E+00	5.08E-01	1.11E+01	3.67E-02
t1	6.87E-01	7.95E-01	1.55E+00	4.16E-01	1.13E+01	3.77E-02
t1	6.79E-01	8.15E-01	1.58E+00	4.32E-01	1.14E+01	3.75E-02
t1	6.32E-01	8.97E-01	1.66E+00	5.16E-01	1.18E+01	3.57E-02
t1	6.18E-01	9.24E-01	1.69E+00	5.43E-01	1.13E+01	3.80E-02
t1	6.47E-01	8.76E-01	1.64E+00	4.92E-01	1.11E+01	3.75E-02
t1	7.06E-01	7.76E-01	1.55E+00	3.90E-01	1.13E+01	3.59E-02
t1	7.31E-01	7.39E-01	1.51E+00	3.52E-01	1.18E+01	3.39E-02
t1	7.07E-01	7.89E-01	1.57E+00	3.96E-01	1.17E+01	3.53E-02
t1	7.06E-01	8.06E-01	1.61E+00	4.06E-01	1.17E+01	3.48E-02
t1	7.23E-01	7.80E-01	1.58E+00	3.78E-01	1.19E+01	3.43E-02
t1	7.25E-01	7.70E-01	1.57E+00	3.73E-01	1.17E+01	3.45E-02
t1	7.14E-01	7.69E-01	1.55E+00	3.81E-01	1.20E+01	3.26E-02
t1	6.91E-01	7.85E-01	1.54E+00	4.08E-01	1.22E+01	3.28E-02
t1	6.79E-01	8.01E-01	1.55E+00	4.26E-01	1.15E+01	3.63E-02
t1	6.69E-01	8.18E-01	1.57E+00	4.42E-01	1.18E+01	3.51E-02
t1	6.67E-01	8.17E-01	1.56E+00	4.43E-01	1.15E+01	3.68E-02
t1	6.66E-01	8.12E-01	1.56E+00	4.41E-01	1.13E+01	3.72E-02
t1	6.41E-01	8.67E-01	1.62E+00	4.91E-01	1.13E+01	3.87E-02
t1	6.35E-01	9.00E-01	1.67E+00	5.15E-01	1.07E+01	4.32E-02
t1	7.00E-01	7.96E-01	1.58E+00	4.04E-01	1.10E+01	4.03E-02
t1	7.34E-01	7.38E-01	1.52E+00	3.48E-01	1.13E+01	3.46E-02
t1	6.95E-01	7.81E-01	1.54E+00	4.01E-01	1.03E+01	3.42E-02
t1	7.24E-01	7.14E-01	1.45E+00	3.45E-01	1.27E+01	1.96E-02
t1	7.15E-01	7.03E-01	1.42E+00	3.47E-01	1.35E+01	1.49E-02
t1	5.88E-01	8.72E-01	1.54E+00	5.35E-01	1.02E+01	1.94E-02
t1	3.34E-01	9.14E-01	1.27E+00	7.39E-01	2.21E+01	1.03E-02
t1	4.31E-01	7.90E-01	1.20E+00	5.86E-01	1.76E+01	1.33E-02
t1	5.05E-01	7.45E-01	1.21E+00	5.10E-01	1.40E+01	1.77E-02
t1	4.99E-01	8.46E-01	1.37E+00	5.82E-01	9.82E+00	3.27E-02
t1	5.03E-01	9.02E-01	1.47E+00	6.18E-01	1.14E+01	2.74E-02
t1	5.86E-01	7.92E-01	1.40E+00	4.88E-01	1.26E+01	2.53E-02
t1	6.76E-01	6.80E-01	1.31E+00	3.63E-01	1.19E+01	2.83E-02
t1	6.44E-01	7.40E-01	1.39E+00	4.17E-01	1.18E+01	3.15E-02
t1	6.12E-01	8.10E-01	1.47E+00	4.81E-01	1.05E+01	4.02E-02
t1	6.56E-01	7.58E-01	1.43E+00	4.20E-01	1.09E+01	3.70E-02
t1	7.27E-01	6.60E-01	1.34E+00	3.18E-01	1.11E+01	3.64E-02
t1	7.53E-01	6.31E-01	1.32E+00	2.85E-01	1.16E+01	3.58E-02
t1	7.34E-01	6.73E-01	1.38E+00	3.18E-01	1.12E+01	3.87E-02
t1	6.97E-01	7.46E-01	1.47E+00	3.82E-01	1.15E+01	3.50E-02
t1	6.76E-01	7.92E-01	1.53E+00	4.24E-01	1.14E+01	3.53E-02
t1	6.75E-01	7.90E-01	1.52E+00	4.22E-01	1.19E+01	3.17E-02
t1	6.75E-01	7.73E-01	1.49E+00	4.14E-01	1.23E+01	3.04E-02
t1	6.71E-01	7.66E-01	1.47E+00	4.13E-01	1.24E+01	2.55E-02
t1	7.05E-01	7.16E-01	1.43E+00	3.61E-01	1.12E+01	2.81E-02
t1	7.49E-01	6.55E-01	1.37E+00	2.97E-01	1.18E+01	2.99E-02
t1	7.44E-01	6.57E-01	1.37E+00	3.03E-01	1.27E+01	2.76E-02
t1	7.11E-01	7.02E-01	1.41E+00	3.49E-01	1.03E+01	3.47E-02
t1	7.28E-01	6.81E-01	1.39E+00	3.26E-01	1.20E+01	2.58E-02
t1	7.68E-01	6.29E-01	1.35E+00	2.71E-01	1.21E+01	2.52E-02
t1	7.70E-01	6.21E-01	1.33E+00	2.67E-01	1.07E+01	2.56E-02
t1	7.53E-01	6.23E-01	1.31E+00	2.80E-01	1.40E+01	1.73E-02
t1	6.85E-01	6.82E-01	1.33E+00	3.57E-01	1.48E+01	1.44E-02
t1	5.25E-01	9.05E-01	1.51E+00	6.02E-01	3.64E+01	3.66E-03
t1	3.14E-01	1.01E+00	1.38E+00	8.23E-01	2.60E+01	7.23E-03
t1	3.49E-01	9.81E-01	1.39E+00	7.79E-01	2.32E+01	8.31E-03
t1	3.93E-01	9.27E-01	1.37E+00	7.08E-01	1.87E+01	1.18E-02
t1	4.62E-01	8.24E-01	1.30E+00	5.89E-01	1.69E+01	1.29E-02
t1	5.27E-01	7.41E-01	1.24E+00	4.92E-01	1.63E+01	1.37E-02
t1	6.03E-01	6.59E-01	1.19E+00	3.97E-01	1.46E+01	1.62E-02
t1	6.70E-01	6.00E-01	1.15E+00	3.24E-01	1.52E+01	1.48E-02
t1	6.84E-01	5.91E-01	1.15E+00	3.11E-01	1.50E+01	1.48E-02
t1	6.95E-01	5.80E-01	1.14E+00	2.99E-01	1.28E+01	1.84E-02
t1	7.01E-01	5.89E-01	1.17E+00	3.00E-01	1.38E+01	1.62E-02
t1	6.61E-01	6.64E-01	1.26E+00	3.65E-01	1.41E+01	1.67E-02
t1	6.16E-01	7.44E-01	1.35E+00	4.39E-01	1.51E+01	1.50E-02
t1	5.80E-01	8.01E-01	1.41E+00	4.99E-01	1.35E+01	1.75E-02
t1	5.55E-01	8.29E-01	1.42E+00	5.33E-01	1.32E+01	1.86E-02
t1	5.24E-01	8.79E-01	1.46E+00	5.87E-01	1.34E+01	1.51E-02
t1	5.06E-01	9.21E-01	1.51E+00	6.26E-01	1.38E+01	1.29E-02
t1	5.66E-01	8.04E-01	1.40E+00	5.09E-01	6.96E+00	4.42E-02
t1	6.30E-01	6.92E-01	1.28E+00	3.99E-01	1.15E+01	2.14E-02
t1	5.66E-01	7.93E-01	1.38E+00	5.02E-01	1.30E+01	1.63E-02
t1	5.22E-01	8.78E-01	1.46E+00	5.86E-01	1.62E+01	1.09E-02
t1	5.19E-01	8.76E-01	1.45E+00	5.86E-01	2.75E+01	6.17E-03
t1	3.81E-01	8.93E-01	1.27E+00	7.05E-01	1.21E+01	3.07E-02
t1	3.46E-01	9.80E-01	1.37E+00	7.87E-01	1.09E+01	3.57E-02
t1	4.10E-01	9.47E-01	1.40E+00	7.21E-01	9.94E+00	4.29E-02
t1	4.28E-01	9.52E-01	1.43E+00	7.13E-01	1.03E+01	4.02E-02
t1	4.29E-01	9.48E-01	1.43E+00	7.09E-01	1.09E+01	3.61E-02
t1	4.61E-01	8.79E-01	1.36E+00	6.38E-01	1.17E+01	3.16E-02
t1	5.04E-01	7.91E-01	1.27E+00	5.49E-01	1.20E+01	3.00E-02
t1	4.99E-01	7.77E-01	1.24E+00	5.43E-01	1.20E+01	2.97E-02
t1	4.46E-01	8.32E-01	1.27E+00	6.15E-01	1.21E+01	3.01E-02
t1	3.82E-01	8.96E-01	1.28E+00	7.03E-01	1.26E+01	2.73E-02
t1	3.32E-01	9.19E-01	1.25E+00	7.52E-01	1.29E+01	2.51E-02
t1	2.91E-01	9.26E-01	1.21E+00	7.85E-01	1.22E+01	2.50E-02
t1	3.86E-01	9.13E-01	1.33E+00	7.04E-01	1.04E+01	3.94E-02
t1	5.35E-01	7.98E-01	1.34E+00	5.28E-01	1.12E+01	3.45E-02
t1	5.53E-01	8.86E-01	1.51E+00	5.73E-01	8.49E+00	5.57E-02
t1	5.24E-01	9.85E-01	1.64E+00	6.59E-01	1.09E+01	3.66E-02
t1	5.29E-01	9.65E-01	1.61E+00	6.42E-01	1.11E+01	3.42E-02
t1	5.60E-01	8.95E-01	1.54E+00	5.72E-01	1.16E+01	3.09E-02
t1	5.80E-01	8.40E-01	1.47E+00	5.23E-01	1.21E+01	2.84E-02
t1	5.82E-01	7.93E-01	1.39E+00	4.93E-01	1.21E+01	2.81E-02
t1	5.46E-01	7.86E-01	1.33E+00	5.13E-01	1.21E+01	2.71E-02
t1	4.43E-01	8.92E-01	1.37E+00	6.53E-01	1.29E+01	2.39E-02
t1	3.64E-01	9.63E-01	1.37E+00	7.58E-01	1.31E+01	2.00E-02
t1	3.26E-01	9.36E-01	1.28E+00	7.64E-01	1.30E+01	1.71E-02
t1	3.29E-01	1.05E+00	1.46E+00	8.50E-01	1.08E+01	3.55E-02
t1	4.98E-01	9.19E-01	1.49E+00	6.33E-01	1.07E+01	3.72E-02
t1	6.44E-01	8.42E-01	1.58E+00	4.75E-01	1.11E+01	3.31E-02
t1	6.73E-01	8.92E-01	1.72E+00	4.78E-01	1.12E+01	3.39E-02
t1	6.50E-01	9.50E-01	1.79E+00	5.30E-01	1.13E+01	3.39E-02
t1	6.50E-01	9.21E-01	1.74E+00	5.14E-01	1.15E+01	3.23E-02
t1	6.50E-01	8.92E-01	1.68E+00	4.98E-01	1.17E+01	3.09E-02
t1	6.17E-01	9.10E-01	1.66E+00	5.35E-01	1.21E+01	2.80E-02
t1	5.88E-01	8.90E-01	1.58E+00	5.46E-01	1.23E+01	2.78E-02
t1	5.49E-01	8.65E-01	1.48E+00	5.59E-01	1.27E+01	2.55E-02
t1	4.60E-01	9.29E-01	1.46E+00	6.64E-01	1.36E+01	1.97E-02
t1	5.47E-01	9.42E-01	1.60E+00	6.14E-01	8.00E+00	3.51E-02
t1	5.69E-01	9.55E-01	1.65E+00	6.05E-01	6.36E+00	5.27E-02
t1	3.86E-01	1.07E+00	1.56E+00	8.21E-01	1.07E+01	3.56E-02
t1	5.53E-01	9.75E-01	1.67E+00	6.28E-01	1.12E+01	3.49E-02
t1	6.68E-01	9.53E-01	1.83E+00	5.15E-01	1.14E+01	3.28E-02
t1	7.19E-01	9.31E-01	1.89E+00	4.54E-01	1.15E+01	3.15E-02
t1	7.21E-01	9.07E-01	1.84E+00	4.40E-01	1.17E+01	3.12E-02
t1	7.09E-01	8.76E-01	1.76E+00	4.37E-01	1.18E+01	3.05E-02
t1	6.88E-01	8.67E-01	1.70E+00	4.51E-01	1.21E+01	2.95E-02
t1	6.24E-01	9.23E-01	1.70E+00	5.37E-01	1.23E+01	2.77E-02
t1	5.60E-01	9.53E-01	1.65E+00	6.07E-01	1.27E+01	2.48E-02
t1	5.15E-01	9.21E-01	1.52E+00	6.20E-01	1.35E+01	2.11E-02
t1	4.38E-01	9.45E-01	1.45E+00	6.90E-01	1.50E+01	1.43E-02
t1	6.21E-01	8.19E-01	1.49E+00	4.82E-01	1.19E+01	2.84E-02
t1	6.44E-01	8.45E-01	1.58E+00	4.79E-01	1.16E+01	3.05E-02
t1	6.85E-01	8.29E-01	1.61E+00	4.37E-01	6.43E+00	7.52E-02
t1	6.92E-01	8.47E-01	1.66E+00	4.40E-01	1.00E+01	3.45E-02
t1	6.52E-01	9.36E-01	1.76E+00	5.23E-01	5.40E+00	9.71E-02
t1	2.87E-01	1.12E+00	1.49E+00	9.36E-01	1.22E+01	2.59E-02
t1	4.46E-01	9.79E-01	1.51E+00	7.11E-01	1.10E+01	3.58E-02
t1	6.08E-01	9.27E-01	1.67E+00	5.54E-01	1.13E+01	3.60E-02
t1	6.81E-01	9.75E-01	1.90E+00	5.15E-01	1.17E+01	3.19E-02
t1	7.21E-01	9.44E-01	1.92E+00	4.58E-01	1.17E+01	3.11E-02
t1	7.26E-01	8.90E-01	1.82E+00	4.27E-01	1.20E+01	2.99E-02
t1	6.88E-01	8.91E-01	1.75E+00	4.64E-01	1.22E+01	2.89E-02
t1	6.59E-01	8.88E-01	1.69E+00	4.88E-01	1.24E+01	2.88E-02
t1	6.08E-01	9.14E-01	1.65E+00	5.44E-01	1.25E+01	2.75E-02
t1	5.33E-01	9.53E-01	1.60E+00	6.28E-01	1.34E+01	2.30E-02
t1	6.29E-01	8.11E-01	1.49E+00	4.71E-01	1.21E+01	3.14E-02
t1	6.80E-01	7.92E-01	1.53E+00	4.21E-01	1.23E+01	3.13E-02
t1	6.84E-01	8.43E-01	1.64E+00	4.43E-01	1.13E+01	3.54E-02
t1	7.46E-01	7.86E-01	1.64E+00	3.61E-01	1.05E+01	3.99E-02
t1	7.73E-01	7.71E-01	1.65E+00	3.29E-01	1.01E+01	4.03E-02
t1	7.67E-01	7.97E-01	1.70E+00	3.46E-01	1.01E+01	3.78E-02
t1	7.30E-01	8.61E-01	1.76E+00	4.12E-01	1.08E+01	3.48E-02
t1	6.76E-01	9.48E-01	1.83E+00	5.08E-01	1.16E+01	3.22E-02
t1	3.10E-01	1.07E+00	1.45E+00	8.78E-01	1.19E+01	2.60E-02
t1	5.01E-01	8.75E-01	1.42E+00	6.01E-01	1.08E+01	3.71E-02
t1	6.55E-01	8.53E-01	1.61E+00	4.73E-01	1.15E+01	3.47E-02
t1	6.90E-01	9.53E-01	1.87E+00	4.94E-01	1.20E+01	3.17E-02
t1	7.23E-01	9.15E-01	1.86E+00	4.42E-01	1.20E+01	3.12E-02
