0.000	2.188	0.379	0.208	2.262	0.412	0.166	2.301	0.336	0.184	2.236	0.307	0.255
5.000	1.894	0.584	0.330	2.019	0.437	0.291	2.094	0.238	0.282	2.076	0.259	0.176
10.000	2.110	0.427	0.462	1.932	0.628	0.502	2.167	0.275	0.390	2.050	0.349	0.310
15.000	2.009	0.647	0.870	2.094	0.662	1.032	2.171	0.439	0.640	2.130	0.342	0.420
20.000	2.147	0.640	1.106	2.209	0.528	1.081	2.566	0.809	1.187	2.508	0.604	1.006
25.000	2.181	0.578	1.060	2.120	0.705	1.086	2.361	0.921	1.140	2.497	0.964	1.288
30.000	2.278	0.662	0.979	2.066	0.629	1.188	3.203	1.385	1.225	2.554	0.803	1.253
35.000	2.173	0.645	1.081	2.278	0.610	1.122	3.651	1.730	1.023	2.962	1.126	1.386
40.000	2.222	0.816	1.043	2.337	0.765	1.208	4.011	2.085	1.105	2.926	1.043	1.163
45.000	2.326	0.907	1.352	2.458	0.650	1.240	3.746	1.779	1.101	3.248	1.450	1.037
50.000	2.379	0.604	1.273	2.142	0.779	1.206	3.738	1.801	1.227	3.328	1.347	1.263
55.000	2.440	0.759	1.092	2.273	0.674	1.038	3.829	1.840	1.269	2.934	1.161	1.407
60.000	2.373	0.739	1.108	2.423	0.872	1.222	3.918	2.053	1.609	3.362	1.534	1.354
65.000	2.400	0.766	1.197	2.504	0.756	1.069	3.015	1.323	1.543	3.219	1.398	1.633
70.000	2.782	0.930	1.102	2.540	0.732	1.008	3.693	1.826	1.305	3.144	1.241	1.567
75.000	2.563	0.883	1.223	2.972	1.014	1.118	3.595	1.818	1.284	3.171	1.358	1.425
80.000	2.927	0.995	1.056	2.984	1.200	1.261	3.631	1.699	1.358	3.513	1.740	1.471
85.000	2.928	1.091	1.065	2.809	0.955	0.938	4.115	2.178	1.236	3.451	1.452	1.398
90.000	3.295	1.295	0.789	3.347	1.347	0.949	4.238	2.250	1.294	3.677	1.684	1.340
