0.729	0.077	0.746	0.072	0.813	0.036	0.792	0.029	1.000
0.738	0.071	0.645	0.108	0.811	0.037	0.445	0.019	2.000
0.625	0.045	0.579	0.036	0.511	0.016	0.466	0.015	3.000
0.705	0.029	0.605	0.025	0.582	0.014	0.615	0.014	4.000
0.731	0.026	0.645	0.022	0.670	0.013	0.626	0.013	5.000
0.693	0.023	0.736	0.025	0.721	0.013	0.762	0.015	6.000
0.718	0.024	0.684	0.023	0.674	0.012	0.726	0.013	7.000
0.726	0.024	0.754	0.025	0.755	0.013	0.787	0.015	8.000
0.619	0.020	0.681	0.021	0.695	0.012	0.693	0.011	9.000
0.665	0.021	0.712	0.022	0.768	0.014	0.690	0.011	10.000
0.688	0.021	0.727	0.023	0.771	0.014	0.668	0.011	11.000
