0.000	0.727	0.029	0.023	0.728	0.030	0.022	0.736	0.037	0.025	0.728	0.028	0.024
5.000	0.715	0.023	0.031	0.711	0.020	0.030	0.711	0.016	0.037	0.708	0.014	0.019
10.000	0.700	0.021	0.043	0.705	0.018	0.038	0.705	0.016	0.044	0.705	0.013	0.029
15.000	0.683	0.036	0.069	0.675	0.044	0.084	0.675	0.032	0.061	0.706	0.018	0.039
20.000	0.667	0.043	0.070	0.640	0.067	0.104	0.652	0.054	0.091	0.697	0.027	0.065
25.000	0.645	0.063	0.085	0.637	0.067	0.091	0.597	0.103	0.098	0.660	0.059	0.072
30.000	0.652	0.061	0.093	0.634	0.069	0.075	0.569	0.132	0.087	0.652	0.054	0.081
35.000	0.642	0.064	0.077	0.639	0.065	0.083	0.544	0.160	0.071	0.606	0.096	0.094
40.000	0.639	0.068	0.082	0.630	0.072	0.077	0.571	0.134	0.057	0.611	0.098	0.090
45.000	0.620	0.085	0.075	0.620	0.087	0.082	0.509	0.191	0.052	0.619	0.083	0.076
50.000	0.620	0.086	0.085	0.616	0.088	0.070	0.538	0.163	0.064	0.601	0.102	0.073
55.000	0.622	0.083	0.077	0.608	0.096	0.085	0.543	0.158	0.079	0.622	0.085	0.075
60.000	0.631	0.076	0.076	0.612	0.098	0.085	0.615	0.092	0.076	0.615	0.093	0.074
65.000	0.601	0.103	0.081	0.579	0.123	0.087	0.596	0.104	0.081	0.634	0.081	0.076
70.000	0.595	0.106	0.080	0.583	0.122	0.084	0.592	0.108	0.064	0.637	0.085	0.080
75.000	0.577	0.125	0.079	0.584	0.120	0.083	0.598	0.105	0.066	0.611	0.106	0.073
80.000	0.613	0.089	0.064	0.594	0.107	0.078	0.618	0.088	0.084	0.651	0.070	0.064
85.000	0.637	0.079	0.072	0.625	0.087	0.080	0.647	0.067	0.068	0.635	0.079	0.061
90.000	0.705	0.064	0.068	0.694	0.068	0.063	0.659	0.054	0.067	0.645	0.079	0.061
