DIRS	nofib	samedir	dironly	free
   15.0000    1.5468    1.5250    0.6221    0.6168
   30.0000    0.7814    0.7566    0.3017    0.3094
   45.0000    0.5846    0.5041    0.2045    0.2170
   60.0000    0.3813    0.3867    0.1576    0.1746
   75.0000    0.3049    0.3108    0.1303    0.1331
   90.0000    0.2588    0.2534    0.1055    0.1254
  105.0000    0.2174    0.2240    0.0953    0.1116
  120.0000    0.1900    0.1911    0.0826    0.0946
