5.7437	4.884	0.72146	0.7659
5.6598	4.884	0.65882	0.702
3.1667	4.0015	0.72654	0.7407
1.6496	4.0015	0.6449	0.6712
7.1519	6.8818	0.74379	0.8
6.9192	6.8818	0.6295	0.68
5.6519	5.625	0.72587	0.7543
5.044	5.625	0.65674	0.6856
2.1921	3.5673	0.73329	0.7463
1.0097	3.5673	0.60851	0.6275
1.261	2.442	0.70486	0.7256
1.0046	2.442	0.6268	0.6378
0.77743	2.0007	0.71425	0.7259
1.2758	2.0007	0.63488	0.638
3.5746	3.441	0.78024	0.8
2.0045	3.441	0.66583	0.6867
0.83131	2.8125	0.7352	0.7508
1.2857	2.8125	0.64383	0.656
0.92768	1.7836	0.73569	0.7463
0.81528	1.7836	0.60962	0.6129
2.4621	1.9712	0.74032	0.743
0.87315	1.9712	0.59838	0.6061
5.3609	4.5015	0.70283	0.7432
5.4725	4.5015	0.63551	0.666
5.7208	4.9126	0.71078	0.7585
5.6942	4.9126	0.64606	0.6862
1.4416	1.9674	0.71307	0.7212
1.1946	1.9674	0.60228	0.5989
1.0643	1.8959	0.68189	0.6897
1.5307	1.8959	0.50911	0.5877
0.74425	1.0686	0.64371	0.6525
0.89923	1.0686	0.50929	0.5053
1.9686	0.98558	0.7454	0.743
1.0299	0.98558	0.58472	0.5833
1.6484	2.2508	0.73131	0.7432
1.3813	2.2508	0.59018	0.6002
1.0223	2.4563	0.74181	0.7585
0.98864	2.4563	0.61319	0.6237
1.3115	0.98369	0.71991	0.7212
1.0102	0.98369	0.60465	0.606
0.70193	0.94793	0.68581	0.6897
0.91026	0.94793	0.56767	0.57
1.1168	0.53432	0.65369	0.6525
1.482	0.53432	0.55412	0.5483
